property_type,room_type,accommodates,bedrooms,price,number_of_reviews,review_scores_rating,calculated_host_listings_count,availability_30,minimum_nights,latitude,longitude,district
11,0,10,3.0,426.0,45,4.93,3,14,3,41.90532,-87.64761,70
11,0,6,1.0,138.0,185,4.83,1,17,2,42.01177,-87.67758,72
29,2,3,2.0811539071168172,66.0,346,4.92,1,4,4,41.93455,-87.66141,45
29,2,3,2.0811539071168172,150.0,66,4.65,1,27,1,41.92817,-87.64282,46
11,0,4,1.0,165.0,385,4.9,3,10,2,41.89322,-87.68572,91
11,0,4,2.0,86.0,116,4.82,1,0,32,41.89678,-87.6971,40
11,0,2,1.0,153.0,7,4.67,74,30,120,41.89269,-87.62227,80
11,0,4,2.0,229.0,74,4.81,1,5,2,41.93396,-87.65897,45
25,2,1,2.0811539071168172,105.0,146,4.97,3,21,2,41.84801,-87.68127,52
11,0,4,1.0,279.0,20,4.75,6,22,1,41.94747,-87.65417,45
11,0,7,3.0,522.0,15,4.71,6,23,1,41.94842,-87.65307,45
11,0,9,4.0,679.0,33,4.94,6,23,1,41.94774,-87.65421,45
11,0,9,4.0,579.0,24,4.79,6,23,1,41.9475,-87.6542,45
25,2,3,2.0811539071168172,85.0,362,4.89,2,8,4,41.77738,-87.60041,93
11,0,2,1.0,115.0,58,4.48,1,0,32,41.79989,-87.59432,41
11,0,2,1.0,364.0,155,4.58,1,30,32,41.93264,-87.64311,46
11,0,4,2.0,122.0,302,4.85,8,4,2,41.94663,-87.70783,8
11,0,2,1.0,75.0,1,5.0,1,15,32,41.93564,-87.6424,45
29,2,1,2.0811539071168172,47.0,2,5.0,2,9,32,41.95998186072804,-87.73006782293396,42
11,0,4,2.0,200.0,14,4.69,74,30,140,41.85487,-87.62024,58
13,0,3,3.0,242.0,4,4.0,6,30,32,41.81961,-87.61324,34
25,2,2,2.0811539071168172,71.0,275,4.64,2,19,2,41.92118,-87.68678,14
3,0,10,3.0,271.0,207,4.79,2,17,2,41.89821,-87.6572,91
32,2,2,2.0811539071168172,75.0,159,4.82,1,0,1,41.93338,-87.63913,45
25,2,1,2.0811539071168172,105.0,195,4.94,3,16,2,41.84828,-87.68021,52
32,2,1,2.0811539071168172,55.0,54,4.91,20,0,2,41.80239,-87.60244,44
26,2,4,1.0,235.0,61,4.47,5,29,32,41.94594,-87.65431,94
45,3,1,2.0811539071168172,30.0,422,4.53,5,29,1,41.94594,-87.65431,94
11,0,3,1.0,148.0,166,4.58,2,0,32,41.90798,-87.68158,92
11,0,6,3.0,241.0,478,4.91,24,12,2,41.89634,-87.65608,91
11,0,2,1.0,91.0,256,4.77,1,6,2,41.96316,-87.69208,47
3,0,3,1.0,139.0,177,4.8,2,24,7,41.90006,-87.68096,81
32,2,1,2.0811539071168172,52.0,168,4.77,2,2,3,41.88152,-87.69768,31
20,2,2,2.0811539071168172,80.0,110,4.78,1,14,2,41.79606,-87.62382,85
29,2,2,2.0811539071168172,65.0,246,4.89,1,29,32,41.85669,-87.65132,52
25,2,1,1.0,45.0,7,3.67,4,29,32,41.85295,-87.70686,49
11,0,3,1.0,145.0,16,4.92,74,30,60,41.85226,-87.62299,58
11,0,2,1.0,160.0,25,4.71,74,30,32,41.88765,-87.61765,51
12,0,4,2.0,200.0,6,4.25,74,30,120,41.85255,-87.62121,58
3,0,8,3.0,143.0,142,4.73,2,22,1,41.91387,-87.67182,92
3,0,6,3.0,231.0,159,4.78,1,30,1,41.93308,-87.6511,45
11,0,3,1.0,120.0,16,4.81,74,30,32,41.85361,-87.62434,58
