,type,rating,review_count,lat,lon,category,price
0,2,4.5,10018,41.88418081770163,-87.64794679938692,158,2
1,2,4.5,8332,41.890694,-87.624782,225,2
2,2,4.5,456,41.90348,-87.676221,32,1
3,2,5.0,858,41.924426,-87.710898,254,1
4,2,5.0,5,41.89575065216653,-87.67662461847067,144,-1
5,2,4.5,65,41.91014,-87.68452,189,-1
6,2,4.5,2170,41.8842528,-87.6293151,234,1
7,2,4.5,3,41.91789789315583,-87.68710535019636,146,-1
8,2,4.5,453,41.92444384539096,-87.69964666704485,170,2
9,2,5.0,15,41.90288666670101,-87.67917606979607,234,-1
10,2,4.5,644,41.9171,-87.70746,158,2
11,2,4.5,671,41.899692,-87.6756,81,1
12,2,4.5,62,41.89115,-87.63375,158,1
13,2,4.5,52,41.9218,-87.69769,158,-1
14,2,4.5,19,41.90976697949441,-87.67605189999999,53,-1
15,2,4.5,301,41.8959276538074,-87.6895823702216,234,1
16,2,4.5,77,41.93194357461772,-87.7023888774715,11,-1
17,2,4.5,1042,41.910731,-87.674285,176,2
18,2,5.0,103,41.89575636351244,-87.67324000597,133,1
19,2,4.5,387,41.910699,-87.675507,133,2
20,2,4.5,139,41.9265,-87.6978,122,-1
21,2,4.5,86,41.92549,-87.701022,16,1
22,2,4.0,924,41.92555,-87.70112,158,1
23,2,4.5,70,41.93495,-87.71647,158,1
24,2,4.0,151,41.88466,-87.64899,158,-1
25,2,5.0,25,41.90591,-87.65993,158,-1
26,2,4.5,121,41.90354,-87.67166,117,1
27,2,4.0,785,41.9099251,-87.6345035,234,1
28,2,4.0,314,41.92733834914246,-87.7049751842139,104,-1
29,2,4.5,10,41.9188328905871,-87.68991989999999,53,-1
30,2,4.0,2305,41.8816894031196,-87.6250061730162,158,1
31,2,4.5,419,41.90343739642855,-87.67186413269891,170,1
32,2,4.5,1496,41.8869441,-87.6487949,144,2
33,2,4.0,463,41.91032,-87.67186,208,1
34,2,4.5,2197,41.927668036295,-87.706845233929,158,1
35,2,4.0,956,41.9071254164458,-87.6673834605751,11,1
36,2,4.5,109,41.89942,-87.6964,122,-1
37,2,4.5,591,41.89628,-87.671551,33,1
38,2,4.5,8688,41.88466,-87.647668,16,1
39,2,4.5,823,41.9173240661621,-87.7071762084961,158,2
40,2,4.5,371,41.915987,-87.669824,158,2
41,2,4.5,573,41.90859268098761,-87.67442096514347,11,1
42,2,4.5,113,41.92189183636727,-87.69749321372282,38,1
43,2,4.5,465,41.8837221888722,-87.64903867652058,234,2
44,2,4.5,111,41.89555,-87.68051,103,1
45,2,4.5,270,41.91746,-87.68281,122,2
46,2,4.5,265,41.91838,-87.65359,187,-1
47,2,4.5,280,41.9034987,-87.6778866,236,1
48,2,4.0,16,41.90971,-87.676833,117,-1
49,2,4.0,2564,41.930156679293,-87.707222394898,97,1
50,2,4.5,254,41.90334127310094,-87.6758734,246,1
51,2,4.5,429,41.899831,-87.687487,29,2
52,2,4.0,3382,41.881369,-87.624698,158,1
53,2,4.5,35,41.92228,-87.64465,125,-1
54,2,4.0,260,41.91778,-87.69881,20,1
55,2,4.0,2142,41.9021130633339,-87.6286945502972,217,3
56,2,4.0,71,41.896263,-87.672913,222,-1
57,2,4.5,2206,41.983356,-87.669057,234,1
58,2,4.5,172,41.90997,-87.69074,146,1
59,2,4.5,619,41.88583,-87.65182,125,1
60,2,4.5,208,41.921735,-87.68721,53,-1
61,2,4.0,256,41.9277,-87.70639,138,1
